State,District,Subdistt,T,Town.Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
10,240,1542,"10,240,1542",0,0,0,SUB-DISTRICT,Arwal,Rural,18350,107837,56123,51714,18952,9771,9181,21860,11336,10524,158,78,80,61262,37707,23555,46575,18416,28159,36599,26238,10361,24575,20503,4072,5701,5143,558,14429,11749,2680,665,443,222,3780,3168,612,12024,5735,6289,1340,795,545,9516,4111,5405,295,191,104,873,638,235,9833,5054,4779,1040,671,369,7853,3684,4169,218,151,67,722,548,174,2191,681,1510,300,124,176,1663,427,1236,77,40,37,151,90,61,71238,29885,41353
10,240,1543,"10,240,1543",0,0,0,SUB-DISTRICT,Kaler,Rural,24279,148941,76872,72069,26445,13456,12989,32662,16879,15783,11,5,6,86549,52034,34515,62392,24838,37554,51979,35798,16181,36505,27211,9294,10097,8227,1870,20223,14171,6052,954,663,291,5231,4150,1081,15474,8587,6887,1244,725,519,11066,5939,5127,959,398,561,2205,1525,680,12894,7617,5277,1095,666,429,9204,5370,3834,822,342,480,1773,1239,534,2580,970,1610,149,59,90,1862,569,1293,137,56,81,432,286,146,96962,41074,55888
10,240,1544,"10,240,1544",0,0,0,SUB-DISTRICT,Karpi,Rural,32945,192213,99915,92298,35782,18540,17242,39491,20387,19104,245,113,132,102494,62680,39814,89719,37235,52484,66872,46794,20078,45301,35231,10070,12828,11073,1755,25432,18448,6984,974,731,243,6067,4979,1088,21571,11563,10008,2480,1466,1014,17033,8770,8263,418,206,212,1640,1121,519,17688,9788,7900,1747,1005,742,14220,7596,6624,308,177,131,1413,1010,403,3883,1775,2108,733,461,272,2813,1174,1639,110,29,81,227,111,116,125341,53121,72220
10,240,1545,"10,240,1545",0,0,0,SUB-DISTRICT,Sonbhadra Banshi Suryapur,Rural,13631,78185,40220,37965,14619,7476,7143,15730,8033,7697,30,15,15,40797,25212,15585,37388,15008,22380,28916,19244,9672,21658,15973,5685,6672,5512,1160,12877,8796,4081,258,236,22,1851,1429,422,7258,3271,3987,1000,291,709,5699,2556,3143,122,81,41,437,343,94,6007,2860,3147,640,196,444,4908,2298,2610,96,73,23,363,293,70,1251,411,840,360,95,265,791,258,533,26,8,18,74,50,24,49269,20976,28293
10,240,1546,"10,240,1546",0,0,0,SUB-DISTRICT,Kurtha,Rural,20564,121818,63290,58528,22849,11913,10936,21972,11301,10671,68,38,30,63133,38634,24499,58685,24656,34029,37660,28222,9438,22673,18352,4321,4922,4380,542,11461,8816,2645,836,538,298,5454,4618,836,14987,9870,5117,1149,780,369,10988,7119,3869,829,320,509,2021,1651,370,12391,8199,4192,996,690,306,9409,6137,3272,585,274,311,1401,1098,303,2596,1671,925,153,90,63,1579,982,597,244,46,198,620,553,67,84158,35068,49090
10,239,1535,"10,239,1535",0,0,0,SUB-DISTRICT,Ratni Faridpur,Rural,23590,146586,76434,70152,25771,13374,12397,21464,10999,10465,235,118,117,81103,50058,31045,65483,26376,39107,47225,34837,12388,29430,23985,5445,9099,8172,927,14546,11077,3469,744,604,140,5041,4132,909,17795,10852,6943,2215,1389,826,11761,7151,4610,1425,734,691,2394,1578,816,14968,9453,5515,1832,1152,680,10289,6430,3859,915,605,310,1932,1266,666,2827,1399,1428,383,237,146,1472,721,751,510,129,381,462,312,150,99361,41597,57764
10,239,1536,"10,239,1536",0,0,0,SUB-DISTRICT,Jehanabad,Rural,24795,151551,79027,72524,27547,14193,13354,34513,17913,16600,97,49,48,80768,49824,30944,70783,29203,41580,52096,36862,15234,32757,26336,6421,12495,10779,1716,13815,10311,3504,640,433,207,5807,4813,994,19339,10526,8813,3521,1612,1909,12918,6913,6005,408,242,166,2492,1759,733,15247,8725,6522,2413,1177,1236,10413,5811,4602,308,198,110,2113,1539,574,4092,1801,2291,1108,435,673,2505,1102,1403,100,44,56,379,220,159,99455,42165,57290
10,239,1537,"10,239,1537",0,0,0,SUB-DISTRICT,Kako,Rural,27774,173487,90005,83482,32026,16646,15380,36541,18807,17734,186,101,85,91868,55705,36163,81619,34300,47319,58586,41340,17246,42539,33353,9186,12956,10660,2296,18918,13854,5064,1471,962,509,9194,7877,1317,16047,7987,8060,3491,1502,1989,9644,4706,4938,723,342,381,2189,1437,752,13739,7076,6663,2977,1285,1692,8343,4278,4065,575,279,296,1844,1234,610,2308,911,1397,514,217,297,1301,428,873,148,63,85,345,203,142,114901,48665,66236
10,239,1538,"10,239,1538",0,0,0,SUB-DISTRICT,Modanganj,Rural,14706,87718,45359,42359,15656,8202,7454,16543,8503,8040,61,29,32,46227,27996,18231,41491,17363,24128,27440,20974,6466,21010,17400,3610,6948,6177,771,10706,8622,2084,401,296,105,2955,2305,650,6430,3574,2856,1133,667,466,4096,2126,1970,180,94,86,1021,687,334,5107,2873,2234,854,520,334,3347,1796,1551,149,78,71,757,479,278,1323,701,622,279,147,132,749,330,419,31,16,15,264,208,56,60278,24385,35893
10,239,1539,"10,239,1539",0,0,0,SUB-DISTRICT,Ghoshi,Rural,17113,108130,55873,52257,19419,10135,9284,22326,11501,10825,95,52,43,58890,35564,23326,49240,20309,28931,37240,26167,11073,19215,15152,4063,5479,4858,621,8298,6060,2238,1382,901,481,4056,3333,723,18025,11015,7010,1860,1268,592,11665,7063,4602,776,415,361,3724,2269,1455,15465,9985,5480,1627,1178,449,10145,6434,3711,586,331,255,3107,2042,1065,2560,1030,1530,233,90,143,1520,629,891,190,84,106,617,227,390,70890,29706,41184
10,239,1540,"10,239,1540",0,0,0,SUB-DISTRICT,Makhdumpur,Rural,37047,228160,118145,110015,41811,21728,20083,52470,26975,25495,287,155,132,118472,72659,45813,109688,45486,64202,69689,52774,16915,53616,42821,10795,13198,11325,1873,26431,20225,6206,2044,1371,673,11943,9900,2043,16073,9953,6120,1677,1134,543,10541,6373,4168,1176,626,550,2679,1820,859,14582,9135,5447,1477,994,483,9866,5973,3893,880,508,372,2359,1660,699,1491,818,673,200,140,60,675,400,275,296,118,178,320,160,160,158471,65371,93100
10,239,1541,"10,239,1541",0,0,0,SUB-DISTRICT,Hulasganj,Rural,14895,94485,49311,45174,15921,8317,7604,19652,10149,9503,150,75,75,54113,32334,21779,40372,16977,23395,36136,23251,12885,24950,17188,7762,6974,5332,1642,12046,7670,4376,1152,704,448,4778,3482,1296,11186,6063,5123,1791,1093,698,6044,3154,2890,1097,511,586,2254,1305,949,9154,5118,4036,1435,958,477,5044,2772,2272,731,281,450,1944,1107,837,2032,945,1087,356,135,221,1000,382,618,366,230,136,310,198,112,58349,26060,32289
10,238,1525,"10,238,1525",0,0,0,SUB-DISTRICT,Islamnagar Aliganj,Rural,22638,136768,70903,65865,25147,12860,12287,26011,13469,12542,313,168,145,65177,39496,25681,71591,31407,40184,52192,34396,17796,37032,26532,10500,12045,8972,3073,17965,12136,5829,1138,670,468,5884,4754,1130,15160,7864,7296,2750,1375,1375,8696,4512,4184,1100,489,611,2614,1488,1126,11886,6291,5595,2509,1271,1238,6582,3438,3144,837,392,445,1958,1190,768,3274,1573,1701,241,104,137,2114,1074,1040,263,97,166,656,298,358,84576,36507,48069
10,238,1526,"10,238,1526",0,0,0,SUB-DISTRICT,Sikandra,Rural,25454,148711,76782,71929,27633,14135,13498,31273,15982,15291,1101,561,540,72771,44356,28415,75940,32426,43514,57072,36752,20320,25108,18961,6147,6405,5555,850,11352,8173,3179,977,658,319,6374,4575,1799,31964,17791,14173,4199,2485,1714,22692,12638,10054,1484,643,841,3589,2025,1564,26118,15364,10754,3771,2226,1545,18039,10843,7196,1222,557,665,3086,1738,1348,5846,2427,3419,428,259,169,4653,1795,2858,262,86,176,503,287,216,91639,40030,51609
10,238,1527,"10,238,1527",0,0,0,SUB-DISTRICT,Jamui,Rural,25808,144757,75254,69503,27127,13896,13231,30787,15756,15031,107,60,47,74683,45241,29442,70074,30013,40061,52088,35140,16948,27615,20893,6722,8433,7045,1388,12884,9128,3756,781,382,399,5517,4338,1179,24473,14247,10226,2982,1918,1064,17394,10160,7234,908,295,613,3189,1874,1315,20047,12113,7934,2568,1719,849,13950,8449,5501,765,261,504,2764,1684,1080,4426,2134,2292,414,199,215,3444,1711,1733,143,34,109,425,190,235,92669,40114,52555
