"state_code","state_name","district_code","district_name","block_code","block_name","block_type","progress_date","census2011"
"01","ANDAMAN AND NICOBAR","0102","NICOBARS","0102003","CAMPBELL BAY","","",""
"01","ANDAMAN AND NICOBAR","0102","NICOBARS","0102001","NANCOWRY","","","05917"
"01","ANDAMAN AND NICOBAR","0102","NICOBARS","0102002","NICOBAR","","","05918"
"01","ANDAMAN AND NICOBAR","0103","NORTH AND MIDDLE ANDAMAN","0103001","DIGLIPUR","","","05919"
"01","ANDAMAN AND NICOBAR","0103","NORTH AND MIDDLE ANDAMAN","0103002","MAYABUNDER","","","05920"
"01","ANDAMAN AND NICOBAR","0103","NORTH AND MIDDLE ANDAMAN","0103003","RANGAT","","","05921"
"01","ANDAMAN AND NICOBAR","0101","SOUTH ANDAMAN","0101002","FERRARGUNJ","","","05922"
"01","ANDAMAN AND NICOBAR","0101","SOUTH ANDAMAN","0101003","LITTLE ANDAMAN","","","05924"
"01","ANDAMAN AND NICOBAR","0101","SOUTH ANDAMAN","0101001","PROTHRAPUR","","",""
"02","ANDHRA PRADESH","0212","ANANTAPUR","0212062","Agali","NrlmI","24-01-2012","05354"
"02","ANDHRA PRADESH","0212","ANANTAPUR","0212045","Amadagur","NrlmI","24-01-2012","05361"
"02","ANDHRA PRADESH","0212","ANANTAPUR","0212061","Amarapuram","NrlmI","24-01-2012","05351"
"02","ANDHRA PRADESH","0212","ANANTAPUR","0212025","Anantapur","NrlmI","24-01-2012","05330"
"02","ANDHRA PRADESH","0212","ANANTAPUR","0212024","Atmakur","NrlmI","24-01-2012","05322"
"02","ANDHRA PRADESH","0212","ANANTAPUR","0212031","Bathalapalle","NrlmI","24-01-2012","05337"
"02","ANDHRA PRADESH","0212","ANANTAPUR","0212016","Beluguppa","NrlmI","24-01-2012","05318"
"02","ANDHRA PRADESH","0212","ANANTAPUR","0212002","Bommanahal","NrlmI","24-01-2012","05307"
"02","ANDHRA PRADESH","0212","ANANTAPUR","0212020","Brahmasamudram","NrlmI","24-01-2012","05320"
"02","ANDHRA PRADESH","0212","ANANTAPUR","0212050","Bukkapatnam","NrlmI","24-01-2012","05345"
"02","ANDHRA PRADESH","0212","ANANTAPUR","0212026","Bukkarayasamudram","NrlmI","24-01-2012","05329"
"02","ANDHRA PRADESH","0212","ANANTAPUR","0212036","Chenne Kothapalle","NrlmI","24-01-2012","05347"
"02","ANDHRA PRADESH","0212","ANANTAPUR","0212055","Chilamathur","NrlmI","24-01-2012","05366"
"02","ANDHRA PRADESH","0212","ANANTAPUR","0212001","D.Hirchal","NrlmI","24-01-2012","05304"
"02","ANDHRA PRADESH","0212","ANANTAPUR","0212037","Dharmavaram","NrlmI","24-01-2012","05336"
"02","ANDHRA PRADESH","0212","ANANTAPUR","0212043","Gandlapenta","NrlmI","24-01-2012","05342"
"02","ANDHRA PRADESH","0212","ANANTAPUR","0212013","Garladinne","NrlmI","24-01-2012","05324"
"02","ANDHRA PRADESH","0212","ANANTAPUR","0212006","Gooty","NrlmI","24-01-2012","05310"
"02","ANDHRA PRADESH","0212","ANANTAPUR","0212048","Gorantla","NrlmI","24-01-2012","05362"
"02","ANDHRA PRADESH","0212","ANANTAPUR","0212060","Gudibanda","NrlmI","24-01-2012","05352"
"02","ANDHRA PRADESH","0212","ANANTAPUR","0212019","Gummagatta","NrlmI","24-01-2012","05319"
"02","ANDHRA PRADESH","0212","ANANTAPUR","0212005","Guntakal","NrlmI","24-01-2012","05309"
"02","ANDHRA PRADESH","0212","ANANTAPUR","0212057","Hindupur","NrlmI","24-01-2012","05364"
"02","ANDHRA PRADESH","0212","ANANTAPUR","0212044","Kadiri","NrlmI","24-01-2012","05343"
"02","ANDHRA PRADESH","0212","ANANTAPUR","0212023","Kalyandurg","NrlmI","24-01-2012","05321"
"02","ANDHRA PRADESH","0212","ANANTAPUR","0212034","Kambadur","NrlmI","24-01-2012","05334"
"02","ANDHRA PRADESH","0212","ANANTAPUR","0212033","Kanaganapalle","NrlmI","24-01-2012","05335"
"02","ANDHRA PRADESH","0212","ANANTAPUR","0212017","Kanekal","NrlmI","24-01-2012","05306"
