"","State","SHGs_Prom","VOs_Prom","CLFs_Prom","HHs_Mob","Num_RF","Amt_RF","Num_CIF","Amt_CIF","Num_MCP","eligible_RF","six_Month","SHGs_VOs"
"1","ASSAM",35193,2067,21,378063,24053,2964.75,9079,4228.15,16812,28746,32929,23404
"2","BIHAR",105637,6164,82,1265245,50673,6885.9,50312,16575.222,59334,71911,76961,66800
"3","CHHATTISGARH",18121,810,32,199346,13838,2048.34,9883,6106.577,10013,15160,14211,8517
"4","GUJARAT",28354,892,4,340865,16817,1508.2275,3660,1803.36,5591,21756,17668,7604
"5","JHARKHAND",32585,1916,16,408906,21592,3065.15,15673,8958.99468,16357,25829,28194,12832
"6","KARNATAKA",26621,3007,598,373123,5189,716.8,7235,6786.939,10922,10447,20159,23180
"7","MADHYA PRADESH",69145,6012,73,789608,46975,6280.005,27399,17523.25,43269,57131,57813,36170
"8","MAHARASHTRA",54283,3098,100,619205,26273,3800.74,7612,4147.36339,17090,37472,40299,30083
"9","ODISHA",30112,2574,363,334914,12028,1569.66,6393,3132.43,8764,16396,21164,19745
"10","RAJASTHAN",5307,282,10,62382,3954,587.675,2576,2674.8475,2621,4286,4627,2090
"11","TAMIL NADU",14636,507,309,200509,3038,509.194,2543,900.025,2814,3426,6228,14260
"12","UTTAR PRADESH",32723,1716,3,360430,15799,2198.3,6887,6283.35,9768,25323,26031,13858
"13","WEST BENGAL",59030,3869,321,656342,35124,4084.64261,7178,3360.585956,13550,48002,46832,46308
